Pulse Width,-3.00V,-2.50V,-2.25V,-2.00V,-1.75V,-1.50V,-1.25V,-1.00V,1.25V,1.50V,1.75V,2.00V,2.25V,2.50V,2.75V,3.00V
2e-08,0.02766469822005155,0.036693740367650135,0.022445083646109316,0.02970526394968229,0.03329724741286785,0.03292079507289929,0.040869117560890865,0.02264431897025019,0.02658167630065491,0.03101994428580005,0.012217122570016302,0.0015831823376482132,0.003565299408130047,0.009867518484472152,0.020992277833993333,0.02044255376368118
4e-08,0.0958779308078648,0.0947538426653596,0.05519454438427654,0.05320653316669967,0.050096453049188916,0.0431105288862203,0.047618266315876186,0.02582237285323311,0.031793906228800704,0.041942546271562575,0.023707495063108847,0.00590025235343345,0.01369959192851214,0.036154290895637625,0.0687476272969756,0.07851950859527243
6e-08,0.1853805786356685,0.16289974266354149,0.09222934027564238,0.07624330418091566,0.06455263409057845,0.050712563063421666,0.05217905014208185,0.027881813341456705,0.03529749028500743,0.050311804822211634,0.033813197570922784,0.01193812933189943,0.029234895653838376,0.07327767113315502,0.12955268047358678,0.164909544980108
8e-08,0.28537334497919364,0.23681660825663048,0.1329839926880076,0.09971274074005265,0.07807833537593865,0.05711155071984947,0.055744239837752674,0.029445135102561238,0.03802644974864437,0.05750337113929826,0.04349004939804964,0.01882122750564026,0.048913370686870516,0.11750686278384542,0.19855917355257485,0.2682006954637505
1e-07,0.3876024887335273,0.31253342904292564,0.17646488713285094,0.12373234992606484,0.09113712136784295,0.06279465018876602,0.058723442829740506,0.0307215728860502,0.040300602635351485,0.06400084699368837,0.05304950065480978,0.02611581181595197,0.07174026339697132,0.1667620948850322,0.27205709020776775,0.3778906514750273
2e-07,0.7722056967939459,0.6336089351616669,0.40288550282347035,0.2483459138505975,0.15382365854978278,0.08601673278455894,0.06940453819154985,0.035089071639611384,0.04841117492360629,0.0915489857109763,0.10191360907391629,0.06680085069907697,0.21504229634203562,0.43878238322373925,0.6129131713015988,0.8060407847268957
4e-07,0.9503326713406274,0.8794519518317062,0.7209858061095904,0.4757651876277514,0.2723748232891812,0.12267521233510072,0.08287771646624807,0.0401812319246279,0.05856195888033031,0.1376055262728475,0.2067866108550057,0.16629674623120452,0.5310671152943227,0.8119517867388036,0.901957359889578,0.9803339290299198
6e-07,0.9708361742636961,0.9297352048782941,0.8481599059754659,0.6361437651917466,0.3781321487671503,0.1544064201416576,0.0924991675897015,0.04357017086407758,0.0657701756699759,0.17904698065408592,0.3129818086811905,0.2785924556892159,0.7555803098037821,0.9292509494920358,0.9553926301412454,0.9900267520546748
8e-07,0.9773171239329561,0.9469716280337054,0.8954202097577083,0.7360301179475351,0.4678188413106421,0.18357552332729268,0.10031739952654305,0.04619070013023198,0.07161062880122046,0.21775055102500715,0.4119813450650083,0.3910539317695437,0.8723143377516765,0.961217622257708,0.9708304755892272,0.9913766219333113
1e-06,0.9801851786736125,0.9558281111506552,0.9167742203513901,0.796483506967336,0.5415108571964383,0.21093500760243183,0.10705199486293882,0.048361588464652105,0.07663407363402595,0.2541814289549828,0.4992333055103045,0.4949867975328504,0.9251713012108496,0.9733793547523825,0.9781027901955258,0.9915765264406726
2e-06,0.9827575899957586,0.9717711315095989,0.949148698420471,0.8969269048771262,0.7425428980422581,0.32820155998353745,0.13268724357593495,0.05600728062395534,0.09575502488289074,0.40612926240984437,0.7563158340642053,0.8090145315460961,0.9776063760114253,0.989068065653628,0.9890784882539301,0.9916019795694266
4e-06,0.982796649655566,0.978706123757327,0.9633079749971633,0.9350043502565059,0.8500329928231215,0.4917331037610999,0.1681055220664885,0.06536095284435241,0.12242048407228585,0.5919657731898371,0.8820806002214574,0.934972789128135,0.9889084132730684,0.9920866511252792,0.9911911727894029,0.99160197957269
6e-06,0.9827966497258288,0.9800702202465462,0.9680247363356217,0.9474898040519291,0.882390396927502,0.5927635122556523,0.19512117301789586,0.07185672704230506,0.14316722879748287,0.6869484707361478,0.9127942941060802,0.9581616304393452,0.9904204843109027,0.9921608927997139,0.9912291957873609,0.99160197957269
8e-06,0.9827966497258288,0.980316536062428,0.9702098436018269,0.9541509212289898,0.8983614639199727,0.6573518427549064,0.21782918482034624,0.07703100113807222,0.16099088064481915,0.7398611144926883,0.9267537723561106,0.967995928584656,0.9906045427262222,0.9921614378675316,0.9912293587412594,0.99160197957269
1e-05,0.9827966497258288,0.9803496852357979,0.9713036144644136,0.9584434617578993,0.908165364558213,0.700699678205996,0.23773832367788117,0.0814183543679542,0.17696410488991537,0.7724719482823243,0.9349988618267591,0.9736138645383542,0.9906196396308078,0.9921614388070025,0.9912293588738308,0.99160197957269
2e-05,0.9827966497258288,0.9803530184698862,0.9723109098480939,0.9684557515924767,0.9296743887233709,0.7955976095427417,0.3137510916452082,0.09759967683710655,0.24161463862623883,0.8387556231967802,0.9523570020269527,0.9845085377576214,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
4e-05,0.9827966497258288,0.9803530184699465,0.9723227407162792,0.9750968098482538,0.9433436325788451,0.847808781167791,0.410154476992723,0.11889861064324662,0.3340784879697529,0.8747770352970381,0.962886294689802,0.9888262367271512,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
6e-05,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9777711310119586,0.9492511284911863,0.867517209440835,0.47215815550456597,0.1345820950288765,0.4010184211284309,0.8887717410771724,0.9672413198370777,0.9893311093159471,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
8e-05,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9791172083427144,0.9527954191057245,0.8785261098986823,0.516151671117215,0.14752885985164968,0.4524206269059032,0.8967381132926243,0.9697198471048183,0.9893693308569513,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.0001,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9798287772719351,0.9552458395515567,0.8857966082279707,0.5491966967368116,0.1587743802626385,0.49317400336100703,0.9020667274509032,0.9713164577753852,0.9893708780942494,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.0002,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.98053703241,0.9615517164544285,0.90333092099488,0.6397266757262474,0.2016576639794811,0.612734015646486,0.9151641417601407,0.9743948343586741,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.0004,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653729933,0.9663392518727264,0.9157608425747139,0.7072088604854088,0.25856501106828533,0.7046670645361672,0.9246812513850114,0.9750065798438671,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.0006,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9685431485456641,0.9214791806446241,0.7369344641483287,0.2984922592766187,0.7438486088842774,0.9291297432618847,0.9750128459325662,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.0008,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9698244810590456,0.9250176057041292,0.7545212461913283,0.32926332769010186,0.7662557555177525,0.93190547646692,0.9750128551943905,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.001,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9706336104370424,0.927513557325301,0.7664875318346553,0.3541048624572195,0.7811084688897008,0.9338742106117268,0.9750128551959966,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.004,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9720867778925345,0.939462738067583,0.8181449535135588,0.5028746590919199,0.8411729248290012,0.943416318947663,0.9750128551959966,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.008,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9720868868159543,0.9438224245678939,0.8346231472271255,0.5587494652103799,0.8589308635350121,0.9469126845933264,0.9750128551959966,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.01,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9720868868159543,0.9450624236504594,0.8390887976003025,0.5734756988556337,0.8636311377602215,0.9478918655379933,0.9750128551959966,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.05,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9720868868159543,0.9521746871552413,0.8632204279129673,0.6447960194463983,0.8882435555979097,0.9521900310070379,0.9750128551959966,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.1,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9720868868159543,0.9542405643768036,0.8705961328518564,0.6631616711260854,0.8955135790425887,0.9523313251168102,0.9750128551959966,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.5,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9720868868159543,0.9554982411428264,0.8835538669644669,0.691507778848624,0.9080176970430341,0.9523316222201093,0.9750128551959966,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
1.0,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9720868868159543,0.9554982563715082,0.8878637687848396,0.6999092001876134,0.9121040076357257,0.9523316222201093,0.9750128551959966,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
2.0,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9720868868159543,0.9554982563715082,0.8916189851855666,0.7068459384824134,0.9156358482200502,0.9523316222201093,0.9750128551959966,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
